exon_num	whole_gene_len	5UTR_len	3UTR_len	CDS_len	last_CDS_len
RP5-1052I5.2	8	2013	73	1028	912	41
DPYD	23	4412	101	1233	3078	171
CEPT1	9	2251	208	792	1251	120
ATP1A1	23	3654	252	330	3072	29
RNF115	9	9117	204	7998	915	132
PDE4DIP	47	8439	20	970	7449	42
OTUD7B	12	8872	295	6045	2532	1209
NUP210L	40	5889	72	150	5667	101
MUC1	11	4170	72	309	3789	75
AC234582.2	2	303	0	0	303	239
PMF1-BGLAP	7	1007	34	337	636	33
PMF1	5	1019	23	453	543	40
UHMK1	8	8117	0	7079	1038	147
PBX1	9	6636	188	5155	1293	93
ALDH9A1	11	2696	305	834	1557	95
SCYL3	14	3090	222	639	2229	60
DNM3	21	3280	157	513	2610	70
TNN	19	5008	113	995	3900	141
BRINP2	8	3558	312	894	2352	1117
RASAL2	18	4378	352	183	3843	165
SOAT1	16	6835	143	5039	1653	57
ACBD6	8	1670	688	133	849	155
RGSL1	22	3696	20	445	3231	34
SMG7	24	5970	195	2262	3513	114
ASPM	28	10887	257	196	10434	103
NEK7	10	4149	342	2898	909	111
PPP1R12B	25	15431	153	12146	3132	87
PIK3C2B	35	7522	479	2222	4821	189
CDK18	16	1648	223	0	1425	35
RASSF5	6	2064	73	734	1257	153
CR1	47	7470	0	0	7470	13
KCNH1	11	7964	28	4966	2970	858
LPGAT1	8	7782	227	6442	1113	152
FLVCR1	10	5939	198	4073	1668	75
USH2A	72	18883	387	2887	15609	90
ESRRG	9	5363	362	3693	1308	245
RAB3GAP2	35	7257	117	2958	4182	156
SUSD4	9	3025	181	1371	1473	29
WDR26	14	6872	194	4692	1986	26
URB2	10	5613	136	902	4575	198
COG2	18	2921	115	589	2217	102
TSNAX-DISC1	14	3557	158	2838	561	66
DISC1	13	6848	53	4296	2499	138
FMN2	18	6434	230	1035	5169	27
RGS7	18	2206	67	705	1434	75
PLD5	11	3305	227	1467	1611	257
KIF26B	15	7287	440	520	6327	149
SMYD3	12	1458	127	221	1110	102
TTLL10	16	2283	173	88	2022	410
PUSL1	8	1287	77	298	912	50
VWA1	3	4511	78	3095	1338	707
SSU72	5	1290	312	393	585	102
CDK11A	20	2429	162	26	2241	93
GNB1	12	3132	332	1777	1023	107
CFAP74	38	5247	156	336	4755	102
MORN1	14	1798	174	130	1494	197
PLCH2	22	5450	161	1899	3390	11
MMEL1	24	2849	162	347	2340	100
TTC34	9	8814	182	5392	3240	528
MEGF6	37	5455	227	602	4626	62
TP73	14	5188	155	3122	1911	333
AJAP1	6	2383	694	453	1236	73
NPHP4	30	4994	266	447	4281	141
KCNAB2	16	4201	478	2619	1104	90
CHD5	42	9646	100	3681	5865	8
HES2	4	1222	216	775	231	90
NOL9	12	6649	33	4507	2109	150
DNAJC11	16	3311	124	1507	1680	26
SLC2A5	12	4165	180	2479	1506	204
SPSB1	3	3120	341	1957	822	128
SLC25A33	7	3854	210	2678	966	203
PIK3CD	25	5483	208	2068	3207	138
NMNAT1	5	1094	144	467	483	44
UBE4B	28	5267	75	1283	3909	62
KIF1B	49	10669	202	5016	5451	43
CASZ1	21	7936	318	2338	5280	1118
MTOR	58	8677	77	950	7650	16
FBXO6	6	1520	135	503	882	237
MTHFR	13	5532	1052	2386	2094	219
TNFRSF1B	10	3683	89	2208	1386	281
VPS13D	70	16320	130	3023	13167	132
PRAMEF19	3	1233	0	0	1233	574
LRRC38	2	2209	455	869	885	254
PRDM2	10	7957	856	1944	5157	121
TMEM51	4	1843	485	596	762	418
FHAD1	31	5090	138	713	4239	117
CELA2A	8	919	25	84	810	18
SPEN	15	12232	204	1033	10995	132
FBXO42	10	6202	217	3831	2154	1116
SZRD1	4	3636	175	3002	459	103
SDHB	8	1153	151	159	843	78
RCC2	13	4087	188	2330	1569	105
ARHGEF10L	29	4488	159	489	3840	533
IGSF21	10	1943	383	156	1404	71
KLHDC7A	1	5145	0	2811	2334	2334
PAX7	9	5538	83	3937	1518	116
UBR4	106	15906	28	326	15552	65
AKR7L	8	1240	77	170	993	162
CAPZB	10	1686	47	805	834	103
TMCO4	16	2974	242	827	1905	405
VWA5B1	22	3859	196	0	3663	507
KIF17	15	3572	212	570	2790	179
ECE1	19	5099	126	2708	2265	177
RAP1GAP	27	3584	258	1247	2079	53
USP48	27	4595	649	838	3108	23
HSPG2	97	14327	80	1071	13176	173
EPHB2	17	10816	18	7630	3168	213
HNRNPR	11	2691	109	671	1911	613
ASAP3	25	4050	45	1293	2712	75
FUCA1	8	2047	8	638	1401	141
STPG1	9	2804	255	1544	1005	77
RCAN3	5	2640	172	1742	726	185
CLIC4	6	4346	197	3387	762	165
RUNX3	7	2629	246	1093	1290	545
RHD	11	3007	62	1649	1296	53
RHCE	12	1810	389	215	1206	27
LDLRAP1	9	2940	119	1894	927	145
MAN1C1	14	4647	960	2598	1089	62
RP1-317E23.6	4	334	0	202	132	9
MTFR1L	7	2004	210	915	879	106
AIM1L	20	5245	150	109	4986	89
ARID1A	20	6521	394	421	5706	1734
TRNP1	2	1958	80	1194	684	764
SLC9A1	12	4516	576	1492	2448	338
GPR3	2	2115	99	1023	993	998
STX12	9	3079	125	2123	831	99
EYA3	18	6085	241	4122	1722	81
PTAFR	3	4191	335	2827	1029	1067
PHACTR4	14	6190	261	3820	2109	16
TRNAU1AP	9	1799	26	909	864	137
GMEB1	10	6410	138	4580	1692	701
OPRD1	4	1217	242	0	975	306
EPB41	21	5956	127	3234	2595	99
MECR	10	2416	373	1149	894	158
PUM1	22	5360	94	1705	3561	132
NKAIN1	7	2589	7	1958	624	10
ZCCHC17	9	1705	243	760	702	162
KPNA6	14	7378	93	5674	1611	188
BSDC1	11	2846	34	1519	1293	33
ZBTB8OS	7	1601	19	1042	540	87
KIAA1522	7	5438	70	2083	3285	23
TMEM54	6	999	120	210	669	75
AK2	8	880	58	123	699	5
TRIM62	5	3437	234	1775	1428	551
ZNF362	9	3106	170	1673	1263	117
C1orf94	7	2136	539	370	1227	76
RP11-244H3.4	17	3099	185	742	2172	26
ZMYM6	16	4330	228	124	3978	1832
ZMYM4	30	6994	80	2267	4647	208
KIAA0319L	21	4789	235	1404	3150	188
AGO1	19	3996	296	1351	2349	109
AGO3	19	19687	349	16755	2583	109
MAP7D1	18	3238	220	591	2427	11
SH3D21	16	2519	28	220	2271	72
OSCP1	11	1463	64	229	1170	117
GRIK3	16	9101	17	6324	2760	195
RSPO1	8	2320	585	943	792	167
INPP5B	24	4694	94	1618	2982	116
RHBDL2	8	1837	228	697	912	180
MACF1	101	24319	157	1383	22779	257
RLF	8	6246	27	474	5745	4656
RIMS3	8	7235	470	5838	927	213
NFYC	15	1862	678	278	906	120
SCMH1	16	3323	597	992	1734	126
HIVEP3	9	12193	886	4086	7221	816
FOXJ3	15	5352	312	3171	1869	116
CCDC30	20	3063	558	153	2352	211
CFAP57	24	4162	146	164	3852	215
MED8	8	1483	44	533	906	103
ST3GAL3	13	2470	191	944	1335	90
ERI3	9	1684	182	488	1014	83
RNF220	16	3010	360	949	1701	72
C1orf228	13	1818	307	188	1323	113
PTCH2	23	4298	12	845	3441	16
EIF2B3	12	1659	127	173	1359	53
TESK2	11	3074	401	957	1716	719
NASP	15	3207	87	753	2367	81
IPP	9	3113	103	1255	1755	225
MAST2	29	5738	283	58	5397	1529
RAD54L	19	2549	114	191	2244	211
FAAH	15	2094	84	270	1740	129
ATPAF1	10	1779	510	735	534	195
TRABD2B	7	7034	106	5374	1554	205
AL356289.1	1	2640	1566	501	573	2139
SPATA6	13	4973	165	3341	1467	181
BEND5	6	1716	87	363	1266	158
ELAVL4	7	1951	151	690	1110	328
FAF1	19	6817	452	4412	1953	84
C1orf185	5	915	0	315	600	305
RNF11	3	3084	486	2133	465	172
OSBPL9	26	3352	500	680	2172	75
TXNDC12	7	2396	1075	802	519	80
ZFYVE9	19	5194	452	464	4278	162
COA7	3	4005	40	3269	696	449
ZYG11B	14	8093	145	5713	2235	191
SCP2	16	2811	168	999	1644	96
PODN	13	3287	341	1017	1929	181
C1orf123	8	1085	42	560	483	78
GLIS1	10	2812	567	382	1863	158
YIPF1	11	1851	371	559	921	90
RP11-446E24.4	10	2542	164	2069	309	6
SSBP3	18	3168	411	1674	1083	24
MROH7	24	4329	285	72	3972	242
MROH7-TTC4	33	5867	278	1584	4005	69
TTC22	7	3345	104	1531	1710	537
PCSK9	12	3637	290	1268	2079	216
USP24	68	10549	0	2686	7863	63
C1orf168	20	3135	81	867	2187	22
C8A	11	2356	96	505	1755	152
DAB1	15	5298	264	3366	1668	96
FGGY	17	2052	184	140	1728	82
CYP2J2	9	1896	44	343	1509	179
C1orf87	12	2028	108	279	1641	161
NFIA	12	1989	82	242	1665	18
KANK4	10	4665	379	1298	2988	105
DOCK7	50	7084	0	688	6396	43
EFCAB7	14	2313	246	177	1890	75
UBE2U	10	1550	424	160	966	197
CACHD1	27	5275	106	1497	3672	239
RAVER2	12	4398	78	2244	2076	147
JAK1	25	5047	249	1333	3465	96
DNAJC6	20	5916	369	2844	2703	102
LEPR	20	3079	185	17	2877	204
SGIP1	27	3997	138	1279	2580	23
WDR78	17	3848	56	1245	2547	51
MIER1	16	3875	316	2146	1413	71
IL23R	11	2208	888	39	1281	651
IL12RB2	16	4040	640	811	2589	543
GNG12	4	4404	200	3985	219	126
LRRC7	27	6507	418	1601	4488	108
PTGER3	7	1470	231	0	1239	43
NEGR1	7	12811	240	11506	1065	125
LRRIQ3	8	2849	192	782	1875	157
ERICH3	15	7159	219	2347	4593	2375
CRYZ	10	2301	505	806	990	162
ACADM	13	2172	79	728	1365	72
MSH4	20	3266	104	351	2811	192
ST6GALNAC5	5	3751	235	2505	1011	232
PIGK	11	4596	24	3384	1188	117
AK5	14	3251	263	1299	1689	69
USP33	25	4502	347	1326	2829	158
FAM73A	16	5288	32	3357	1899	219
GIPC2	6	3847	193	2706	948	152
PTGFR	4	4337	195	3062	1080	282
ADGRL4	15	3527	64	1390	2073	63
PRKACB	13	1112	31	4	1077	126
DNASE2B	6	1269	33	150	1086	341
SSX2IP	14	5835	264	3726	1845	175
WDR63	23	2995	180	139	2676	144
SYDE2	7	5512	50	1877	3585	500
DDAH1	7	3909	389	2971	549	117
ODF2L	18	7560	282	5367	1911	18
SEP15	6	1835	313	1027	495	132
PKN2	22	6121	359	2807	2955	204
GTF2B	7	1351	119	281	951	134
LRRC8C	3	7218	255	4551	2412	2274
RP11-302M6.4	4	654	187	308	159	21
LRRC8D	3	3950	407	966	2577	2579
ZNF644	6	5702	218	1500	3984	193
HFM1	39	4931	99	524	4308	70
TGFBR3	18	4550	684	1313	2553	119
BRDT	20	3409	418	147	2844	69
BTBD8	18	6041	267	395	5379	467
EVI5	19	7436	10	4960	2466	315
FAM69A	5	865	93	283	489	15
CCDC18	29	4867	502	0	4365	15
FNBP1L	17	4212	151	2243	1818	8
BCAR3	14	3217	289	450	2478	179
ABCA4	50	7309	87	400	6822	6
ABCD3	23	3538	24	1534	1980	78
ALG14	4	9367	47	8669	651	231
TMEM56	7	6822	291	5739	792	319
TMEM56-RWDD3	8	1491	180	705	606	40
PTBP2	14	12014	82	10333	1599	133
SNX7	9	1734	9	369	1356	78
PLPPR5	6	4139	361	2827	951	33
FRRS1	17	2678	602	195	1881	223
AGL	34	7368	400	2369	4599	118
AC096949.1	32	4548	0	0	4548	118
SLC35A3	9	1759	301	480	978	91
TRMT13	11	3129	6	1677	1446	196
RTCA	12	1534	127	267	1140	102
CDC14A	16	4137	355	1997	1785	30
SLC30A7	12	7898	187	6580	1131	48
OLFM3	6	3255	214	1664	1377	678
COL11A1	67	7286	313	1552	5421	147
RNPC3	16	3641	236	1851	1554	60
NTNG1	8	3149	718	988	1443	230
VAV3	28	4510	140	1742	2628	42
SLC25A24	10	4271	220	2617	1434	185
NBPF6	16	2222	218	0	2004	42
HENMT1	9	1717	171	271	1275	426
STXBP3	19	2478	50	649	1779	95
RP11-475E11.9	6	557	10	0	547	47
GPSM2	16	7433	773	4605	2055	240
KIAA1324	22	3442	183	217	3042	69
SORT1	20	6993	433	4475	2085	15
GNAI3	9	27174	110	25999	1065	191
GSTM2	9	1478	94	808	576	9
GSTM1	8	1161	54	450	657	90
KCNC4	4	18750	27	16815	1908	89
KCNA2	5	1959	575	313	1071	36
CD53	8	1505	112	733	660	72
TMIGD3	6	1150	10	339	801	71
RAP1A	8	1586	319	712	555	87
KCND3	8	2716	480	268	1968	202
CTTNBP2NL	6	5897	225	3752	1920	1482
ST7L	15	4528	305	2495	1728	99
FAM19A3	5	1282	217	555	510	52
LRIG2	18	11555	198	8159	3198	227
MAGI3	22	3911	285	173	3453	50
RSBN1	8	2703	7	638	2058	474
AP4B1	11	2742	205	317	2220	428
TRIM33	20	8339	84	4871	3384	213
AMPD1	16	2375	16	16	2343	159
SYCP1	32	3522	240	351	2931	138
TSPAN2	8	3177	32	2479	666	66
CASQ2	11	2674	240	1234	1200	186
SLC22A15	12	4720	130	2946	1644	90
MAB21L3	7	3229	265	1875	1089	234
CD58	6	1098	67	278	753	10
IGSF3	12	7326	768	2913	3645	251
PTGFRN	9	6178	147	3391	2640	167
VTCN1	6	2612	79	1684	849	125
WDR3	27	9974	47	7095	2832	156
SPAG17	49	6924	66	186	6672	140
REG4	7	1517	440	600	477	68
NOTCH2	34	11389	220	3753	7416	1389
SRGAP2C	10	7204	857	4967	1380	222
NBPF15	21	4707	1067	1627	2013	244
SRGAP2B	10	7120	848	4895	1377	222
FAM72D	4	2397	848	1099	450	95
NBPF20	138	18760	193	1626	16941	244
GPR89A	15	1644	207	144	1293	207
ANKRD35	14	3342	87	249	3006	63
RP11-458D21.5	21	3411	336	2358	717	83
FMO5	9	1696	114	187	1395	139
BCL9	10	6278	740	1257	4281	1118
GPR89B	14	1934	144	422	1368	207
NBPF11	24	5494	1151	1745	2598	17
NBPF14	66	10080	0	1620	8460	244
NBPF19	97	14425	1270	1623	11532	244
VPS45	15	2790	546	531	1713	88
PRPF3	16	2433	165	216	2052	147
RPRD2	11	4612	4	222	4386	2774
ENSA	5	923	96	263	564	166
CTSS	8	4107	261	2850	996	100
ARNT	23	2892	224	340	2328	90
PSMD4	10	1350	80	136	1134	171
CGN	21	5091	133	1346	3612	142
SNX27	12	6403	120	4657	1626	48
TDRKH	15	2296	170	308	1818	96
FLG	3	12747	36	525	12186	12048
LCE2A	2	592	51	220	321	341
S100A14	5	1218	273	630	315	138
INTS3	31	3597	203	265	3129	78
GATAD2B	11	7478	244	5452	1782	134
TDRD10	13	2331	838	437	1056	33
KCNN3	9	13057	314	10502	2241	297
PMVK	5	1280	306	395	579	137
ADAM15	23	2949	101	256	2592	43
FDPS	11	1431	115	56	1260	201
ASH1L	28	11942	640	2392	8910	92
DAP3	13	1671	313	284	1074	86
GON4L	32	7823	175	922	6726	150
ARHGEF2	26	4438	255	1087	3096	74
LMNA	13	2461	641	101	1719	111
MEF2D	12	5965	481	3918	1566	12
ARHGEF11	41	6889	1040	1160	4689	59
FCRL5	17	5390	158	2298	2934	90
FCRL3	16	2633	173	231	2229	57
FCRL1	11	2596	68	1238	1290	72
KIRREL	15	2874	67	533	2274	477
OR10K1	1	942	0	0	942	942
KCNJ10	3	1239	98	628	513	26
ATP1A4	22	3839	471	278	3090	29
COPA	33	4664	78	884	3702	60
CD84	8	1116	67	11	1038	66
CD48	4	1126	88	306	732	80
LY9	10	2485	114	445	1926	69
NECTIN4	9	3502	303	1666	1533	225
FCER1G	5	551	43	169	339	141
SDHC	6	13566	149	12907	510	105
ATF6	16	7496	67	5416	2013	209
OLFML2B	8	3160	424	483	2253	602
NOS1AP	10	2894	404	984	1506	416
SH2D1B	4	2523	110	2014	399	36
DDR2	19	10160	438	7154	2568	135
HSD17B7	9	1190	55	109	1026	123
RGS5	6	5812	547	5043	222	162
LMX1A	9	3545	383	2013	1149	161
RXRG	11	2252	889	340	1023	148
TMCO1	9	1735	703	717	315	99
POGK	6	5754	150	3774	1830	1472
MAEL	13	1700	205	358	1137	188
DUSP27	6	4164	166	521	3477	2822
POU2F1	17	13937	170	11535	2232	311
CD247	8	1609	73	1041	495	66
RCSD1	7	3135	331	1553	1251	33
ADCY10	33	5051	185	33	4833	162
DCAF6	22	3349	94	399	2856	65
TBX19	8	2822	51	1424	1347	295
NME7	12	1590	313	254	1023	33
SLC19A2	6	3671	237	1940	1494	129
SELP	17	3142	38	611	2493	55
KIFAP3	21	3159	669	345	2145	106
MROH9	22	3165	154	425	2586	242
PRRC2C	34	10366	242	1664	8460	261
VAMP4	8	5159	387	4346	426	29
SLC9C2	28	4428	423	630	3375	4
CENPL	7	2357	286	898	1173	72
RC3H1	20	11261	352	7507	3402	151
RABGAP1L	21	2899	174	277	2448	15
TNR	24	5190	555	558	4077	120
PAPPA2	23	9691	1164	3151	5376	75
ASTN1	23	4187	191	309	3687	40
TEX35	9	1023	112	209	702	116
RALGPS2	20	5834	338	3744	1752	30
FAM20B	8	5984	336	4418	1230	232
ABL2	13	3240	0	0	3240	1181
AXDND1	26	3642	387	216	3039	8
NPHS2	8	1855	69	634	1152	279
CEP350	38	13491	418	3719	9354	165
XPR1	15	8474	198	6185	2091	61
STX6	8	4851	238	3845	768	77
CACNA1E	50	7064	0	125	6939	543
ZNF648	2	3649	208	1734	1707	1770
RNASEL	7	4238	254	1758	2226	187
DHX9	28	4240	110	317	3813	352
LAMC1	28	7889	257	2802	4830	257
LAMC2	23	5147	65	1500	3582	254
NMNAT2	11	5663	335	4404	924	103
ARPC5	4	7209	67	6686	456	63
RGL1	19	5100	449	2239	2412	188
COLGALT2	12	5177	372	2924	1881	277
FAM129A	14	6928	194	3947	2787	1121
RNF2	7	3606	288	2307	1011	102
SWT1	19	3001	94	204	2703	130
HMCN1	107	18208	229	1071	16908	367
C1orf27	14	3792	125	2302	1365	68
PLA2G4A	18	2875	152	473	2250	132
BRINP3	8	3142	485	356	2301	1117
TROVE2	11	1909	187	165	1557	14
CDC73	17	4969	184	3189	1596	37
KCNT2	28	4409	916	85	3408	112
CFH	22	4127	240	191	3696	203
RP4-608O15.3	5	1043	100	130	813	200
CFHR4	10	2178	137	307	1734	197
CFHR5	10	2810	109	991	1710	197
CRB1	13	5140	416	575	4149	216
DENND1B	23	8375	338	5709	2328	513
LHX9	6	1623	41	616	966	57
PTPRC	33	5164	141	1102	3921	276
NR5A2	8	5086	246	3214	1626	248
ZNF281	3	2933	65	288	2580	2435
CAMSAP2	18	7161	49	2642	4470	306
CACNA1S	44	6166	227	317	5622	252
IGFN1	25	4439	130	553	3756	14
NAV1	30	9685	780	3412	5493	96
IPO9	24	11435	69	8240	3126	111
LGR6	18	3567	89	574	2904	1256
SYT2	9	7614	193	6161	1260	207
KDM5B	28	6449	113	1593	4743	138
KLHL12	12	3359	219	1433	1707	127
PPFIA4	35	6349	441	2350	3558	50
ADORA1	6	2896	411	1504	981	640
ATP2B4	22	8918	897	4508	3513	26
ZC3H11A	20	3451	997	21	2433	259
SOX13	14	3587	109	1609	1869	277
GOLT1A	5	883	186	298	399	39
PLEKHA6	27	5704	153	2032	3519	116
NFASC	30	10333	328	6282	3723	232
TMCC2	5	3738	389	1219	2130	312
LEMD1	6	929	103	280	546	199
SLC26A9	22	4616	114	1838	2664	292
SRGAP2	22	4705	62	1430	3213	384
MAPKAPK2	10	2171	286	772	1113	54
IL19	7	1473	939	0	534	96
FCAMR	8	1898	417	683	798	27
C4BPB	7	978	155	64	759	141
CD55	11	2220	65	832	1323	124
CR2	20	4240	189	772	3279	91
PLXNA2	32	11444	758	5001	5685	96
CAMK1G	13	2612	245	936	1431	91
DIEXF	12	8446	57	6118	2271	244
SYT14	10	13567	625	10347	2595	314
AL022397.1	10	1860	0	0	1860	314
SERTAD4	4	5219	230	3918	1071	780
HHAT	12	3575	176	1917	1482	92
RCOR3	12	2041	128	251	1662	345
INTS7	20	4417	105	1423	2889	288
DTL	15	4573	314	2066	2193	99
PPP2R5A	13	3128	574	1093	1461	133
ATF3	5	2031	439	1217	375	198
NSL1	7	790	13	135	642	58
RPS6KC1	15	4227	832	830	2565	111
PROX1	5	8498	616	5668	2214	186
SMYD2	12	1671	22	347	1302	81
PTPN14	19	12985	195	9226	3564	129
KCNK2	7	1410	67	74	1269	318
KCTD3	18	3931	294	1189	2448	562
GPATCH2	10	5851	111	4153	1587	221
SPATA17	11	5818	55	4677	1086	81
TGFB2	8	5053	467	3257	1329	159
BPNT1	11	1152	95	181	876	6
MARK1	18	5321	640	2290	2391	355
TAF1A	12	1966	209	404	1353	113
AIDA	10	3008	207	1880	921	97
DISP1	8	4762	164	23	4575	3588
CAPN8	21	2427	88	227	2112	24
CAPN2	21	3264	236	1159	1869	24
FBXO28	5	5451	43	4301	1107	395
NVL	24	3003	710	289	2004	45
CNIH3	6	2558	882	1193	483	28
DNAH14	84	13763	215	0	13548	216
ENAH	15	13168	452	10940	1776	38
EPHX1	9	1660	80	212	1368	202
PARP1	23	3958	144	769	3045	82
PSEN2	13	2306	436	523	1347	156
CDC42BPA	37	10134	532	4403	5199	132
ZNF678	6	929	438	260	231	5
WNT9A	4	3971	11	2862	1098	483
OBSCN	116	26925	74	79	26772	178
HIST3H2BB	1	2364	23	1960	381	404
NUP133	26	5207	92	1644	3471	137
GALNT2	16	4454	72	2666	1716	156
PGBD5	7	10961	443	8943	1575	196
TTC13	23	3253	8	662	2583	115
TRIM67	12	2166	0	0	2166	66
SPRTN	5	3468	336	1662	1470	752
SIPA1L2	22	6690	359	1162	5169	147
PCNX2	34	7518	235	869	6414	174
SLC35F3	8	2891	145	1273	1473	236
RBM34	11	2054	231	530	1293	285
ARID4B	24	5946	377	1630	3939	128
TBCE	18	2117	176	204	1737	93
LYST	53	13480	175	1899	11406	139
NID1	20	5864	83	2037	3744	122
GPR137B	7	2042	91	751	1200	109
EDARADD	6	2803	33	2188	582	383
HEATR1	45	8447	115	1897	6435	89
ACTN2	23	5103	1041	2001	2061	159
MTR	33	10529	394	6337	3798	87
RYR2	105	16562	317	1341	14904	96
CHRM3	5	8780	779	6228	1773	1792
GREM2	2	4170	267	3396	507	508
KMO	15	1868	311	135	1422	201
WDR64	27	4371	207	918	3246	84
BECN2	1	1296	0	0	1296	1296
CEP170	20	6828	52	2021	4755	290
AKT3	14	1688	66	224	1398	44
ZBTB18	2	3740	69	2102	1569	1583
ADSS	13	2780	317	1092	1371	53
C1orf101	22	3333	54	423	2856	154
COX20	5	568	99	76	393	136
EFCAB2	8	1233	265	479	489	116
TFB2M	8	1848	186	471	1191	172
ZNF670-ZNF695	6	2751	215	2179	357	134
ZNF670	4	1994	159	665	1170	979
OR4F5	1	918	0	0	918	918
FO538757.2	3	718	316	0	402	237
FO538757.1	15	1604	236	0	1368	45
OR4F29	1	939	0	0	939	939
OR4F16	1	939	0	0	939	939
SAMD11	14	2551	83	422	2046	246
NOC2L	19	2790	50	490	2250	107
KLHL17	12	2560	107	524	1929	229
PLEKHN1	16	2404	35	533	1836	134
PERM1	5	3035	36	968	2031	98
HES4	4	899	138	95	666	374
ISG15	3	788	251	63	474	495
RNF223	2	1902	301	851	750	759
C1orf159	12	2429	211	1075	1143	95
TNFRSF18	5	1179	120	333	726	125
TNFRSF4	7	1068	5	229	834	71
SDF4	7	1956	263	604	1089	177
B3GALT6	1	2777	14	1773	990	1004
FAM132A	8	1036	32	95	909	99
UBE2J2	8	1021	168	25	828	285
SCNN1D	18	3044	226	409	2409	357
ACAP3	24	3896	203	1188	2505	145
CPSF3L	19	2629	534	274	1821	66
CPTP	3	2190	411	1134	645	523
TAS1R3	6	3433	32	842	2559	959
DVL1	15	2926	47	866	2013	374
MXRA8	10	2273	31	913	1329	26
AURKAIP1	4	1047	376	71	600	102
CCNL2	11	2305	6	736	1563	352
MRPL20	4	721	96	175	450	174
ANKRD65	4	2190	312	678	1200	450
TMEM88B	2	492	0	0	492	234
ATAD3C	12	3859	995	1628	1236	147
ATAD3B	16	2448	116	385	1947	333
ATAD3A	16	2492	118	613	1761	147
TMEM240	5	717	43	152	522	149
AL645728.1	3	276	0	0	276	35
FNDC10	1	2085	81	1323	681	762
MIB2	20	3321	45	75	3201	239
MMP23B	8	1326	124	29	1173	175
CDK11B	22	2490	112	26	2352	93
SLC35E2B	10	6283	761	4304	1218	238
SLC35E2	7	2078	761	576	741	9
NADK	14	3653	205	1672	1776	157
CALML6	6	1101	454	101	546	47
TMEM52	5	929	8	291	630	281
GABRD	9	1928	100	469	1359	300
FAAP20	4	729	25	161	543	73
SKI	7	5613	72	3354	2187	189
RER1	7	3044	133	2320	591	90
PEX10	6	2871	28	1802	1041	69
PANK4	19	2677	17	314	2346	214
HES5	3	1306	81	724	501	281
TNFRSF14	8	1707	299	556	852	126
FAM213B	7	2827	46	2040	741	18
ACTRT2	1	1421	204	83	1134	1338
ARHGEF16	15	3061	405	526	2130	140
TPRG1L	5	2414	71	1524	819	195
WRAP73	12	1665	74	208	1383	143
CCDC27	12	2176	84	121	1971	123
SMIM1	4	546	248	61	237	127
LRRC47	7	4310	28	2530	1752	249
CEP104	22	6424	325	3321	2778	116
DFFB	7	3105	337	1679	1089	235
C1orf174	4	1666	99	835	732	114
RPL22	4	2078	39	1652	387	145
RNF207	18	3924	127	1892	1905	172
ICMT	5	4771	29	3887	855	183
HES3	4	697	65	71	561	398
GPR153	6	4082	260	1992	1830	666
ESPN	13	3531	168	798	2565	148
TNFRSF25	10	1632	68	283	1281	329
